numero_expediente,estado_seleccionado,usuario,sistema
EX-2018-09915263- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25212536- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15505319- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09431648- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781745- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781926- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151046- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-28515348- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781408- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23184356- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24954896- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25240575- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-19779917- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24975831- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23304541- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25402036- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15504698- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25825259- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25827971- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-14656712- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09426444- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25401993- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151065- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151072- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915271- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10150961- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915491- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25826073- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10150425- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-13511728- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25069375- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25239653- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09425397- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151093- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915340- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25137365- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25236445- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25402008- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25185985- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25188284- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151018- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915225- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24977647- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24782084- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-14883229- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10152394- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-31888546- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25189892- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781467- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25071474- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10152336- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25233372- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25474003- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915332- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-22282310- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25233242- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151077- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-19498986- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15506900- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25243472- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24782009- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09449764- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-16334308- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08988030- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915362- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24977632- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25071873- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25069913- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23414053- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09436640- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09428206- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10146557- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25182066- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
